title,type,arr,posts,price,lat,lng,isFake
optimize strategic technologies Paris 4,PRIVATE_OFFICE,4,3,1250,48.858421,2.356984,false
whiteboard best-of-breed platforms Paris 5,INDEPENDENT_SPACE,5,4,800,48.850783,2.338944,true
grow strategic initiatives Paris 11,INDEPENDENT_SPACE,11,3,600,48.863639,2.381728,false
enable robust convergence Paris 16,OPEN_SPACE,16,11,900,48.861892,2.278637,false
incubate bleeding-edge technologies Paris 14,INDEPENDENT_SPACE,14,2,850,48.832058,2.325495,false
gamify integrated functionalities Paris 16,PRIVATE_OFFICE,16,7,1600,48.867987,2.275046,true
enhance cross-platform deliverables Paris 13,INDEPENDENT_SPACE,13,5,850,48.835344,2.354310,false
harness quantum blockchains Paris 4,PRIVATE_OFFICE,4,8,1050,48.858708,2.347910,false
iterate user-centric blockchains Paris 18,OPEN_SPACE,18,49,950,48.891687,2.349018,false
repurpose real-time partnerships Paris 1,INDEPENDENT_SPACE,1,5,750,48.857681,2.354980,false
engage B2B blockchains Paris 17,INDEPENDENT_SPACE,17,2,700,48.885884,2.317240,false
facilitate cutting-edge infrastructures Paris 20,OPEN_SPACE,20,47,950,48.869735,2.402245,false
revolutionize smart convergence Paris 18,INDEPENDENT_SPACE,18,4,550,48.892682,2.341803,true
embrace mission-critical applications Paris 12,INDEPENDENT_SPACE,12,1,550,48.839324,2.392237,false
facilitate innovative models Paris 10,INDEPENDENT_SPACE,10,3,450,48.876683,2.354980,false
visualize turn-key experiences Paris 17,PRIVATE_OFFICE,17,6,1400,48.886991,2.317140,false
harness sticky content Paris 2,OPEN_SPACE,2,43,1050,48.868966,2.336557,true
generate intuitive paradigms Paris 12,OPEN_SPACE,12,35,700,48.836880,2.396393,false
syndicate robust supply-chains Paris 16,INDEPENDENT_SPACE,16,4,950,48.867742,2.279545,false
simplify turn-key users Paris 19,INDEPENDENT_SPACE,19,3,450,48.878109,2.380144,true
reinvent generative mindshare Paris 16,INDEPENDENT_SPACE,16,5,400,48.864604,2.275306,true
revolutionize vertical solutions Paris 13,OPEN_SPACE,13,16,850,48.828999,2.359209,false
enhance front-end methodologies Paris 6,INDEPENDENT_SPACE,6,5,650,48.849018,2.331180,false
strategize global users Paris 15,PRIVATE_OFFICE,15,8,850,48.839285,2.294820,false
iterate scalable smart contracts Paris 18,INDEPENDENT_SPACE,18,4,950,48.888229,2.345290,false
orchestrate ubiquitous initiatives Paris 18,OPEN_SPACE,18,28,550,48.887942,2.342047,false
facilitate plug-and-play interfaces Paris 9,OPEN_SPACE,9,17,750,48.876163,2.340482,false
incentivize one-to-one schemas Paris 6,PRIVATE_OFFICE,6,10,1100,48.851295,2.334555,false
evolve transparent models Paris 11,PRIVATE_OFFICE,11,7,1850,48.861383,2.383588,false
facilitate B2C markets Paris 1,PRIVATE_OFFICE,1,2,1850,48.859080,2.354157,false
engage customized users Paris 12,OPEN_SPACE,12,40,1050,48.835414,2.396701,true
expedite sticky content Paris 7,PRIVATE_OFFICE,7,7,1650,48.860229,2.313661,false
streamline open-source solutions Paris 14,OPEN_SPACE,14,28,1100,48.832525,2.328704,false
revolutionize synergistic interfaces Paris 19,OPEN_SPACE,19,14,500,48.884091,2.378146,false
disintermediate plug-and-play communities Paris 4,INDEPENDENT_SPACE,4,3,600,48.854056,2.347822,false
scale granular partnerships Paris 3,INDEPENDENT_SPACE,3,4,850,48.864615,2.359656,false
harness rich networks Paris 18,PRIVATE_OFFICE,18,4,1350,48.890623,2.345291,false
enhance dynamic architectures Paris 3,OPEN_SPACE,3,28,900,48.866150,2.357040,true
simplify dynamic smart contracts Paris 13,PRIVATE_OFFICE,13,2,2000,48.832233,2.357484,true
utilize generative web services Paris 12,INDEPENDENT_SPACE,12,5,550,48.844572,2.398194,false
disintermediate robust methodologies Paris 16,OPEN_SPACE,16,38,950,48.858820,2.274640,false
facilitate plug-and-play models Paris 1,PRIVATE_OFFICE,1,6,1750,48.859975,2.349760,false
transition B2C convergence Paris 1,INDEPENDENT_SPACE,1,3,800,48.854521,2.350578,false
drive holistic networks Paris 17,PRIVATE_OFFICE,17,5,1050,48.888694,2.320345,false
scale distributed technologies Paris 15,OPEN_SPACE,15,21,500,48.843465,2.299055,false
